"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","103","api","v1","stakes","","","Get all address of stake",""
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","107","api","v1","tokens","","","Filter token mint transaction",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","191","api","v1","contracts","","","Get list contract",""
"passed","Mon Jul 17 20:01:25 GMT 2023","Mon Jul 17 20:01:25 GMT 2023","176","api","v1","pools","","","get Data For Pool De Registration",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","87","api","v1","delegations","","","get Analytics For Pool Detail",""
"passed","Mon Jul 17 20:01:25 GMT 2023","Mon Jul 17 20:01:25 GMT 2023","120","api","v1","markets","","","Get ada cardano price, market cap, volume, and market related data",""
"passed","Mon Jul 17 20:01:23 GMT 2023","Mon Jul 17 20:01:23 GMT 2023","108","api","v1","stakes","","","Get a stake detail by stake key",""
"passed","Mon Jul 17 20:01:25 GMT 2023","Mon Jul 17 20:01:25 GMT 2023","110","api","v1","policies","","","Get holders by policy",""
"passed","Mon Jul 17 20:01:23 GMT 2023","Mon Jul 17 20:01:23 GMT 2023","95","api","v1","stakes","","","Get active stake, live stake and total stake",""
"passed","Mon Jul 17 20:01:20 GMT 2023","Mon Jul 17 20:01:20 GMT 2023","108","api","v1","txs","","","Get Number Transaction On Last 15 Days",""
"passed","Mon Jul 17 20:01:20 GMT 2023","Mon Jul 17 20:01:20 GMT 2023","104","api","v1","txs","","","Get Number Transaction Fake Value",""
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","103","api","v1","stakes","","","Get delegation history of stake key",""
"passed","Mon Jul 17 20:01:26 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","126","api","v1","delegations","","","get Data For Pool Detail",""
"passed","Mon Jul 17 20:01:26 GMT 2023","Mon Jul 17 20:01:26 GMT 2023","102","api","v1","epochs","","","Get block list of epoch by its no",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","88","api","v1","delegations","","","get Data For Delegation Header",""
"passed","Mon Jul 17 20:01:23 GMT 2023","Mon Jul 17 20:01:25 GMT 2023","1715","api","v1","pools","","","get Data For Pool Registration",""
"passed","Mon Jul 17 20:01:30 GMT 2023","Mon Jul 17 20:01:30 GMT 2023","94","api","v1","addresses","","","Get the highest and lowest balance address",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","93","api","v1","blocks","","","Get a block detail",""
"passed","Mon Jul 17 20:01:30 GMT 2023","Mon Jul 17 20:01:30 GMT 2023","100","api","v1","addresses","","","Get a address analytics",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","96","api","v1","blocks","","","Get all block",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","87","api","v1","delegations","","","get Delegator For Pool Detail",""
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","103","api","v1","stakes","","","Get withdrawal transaction of stake key",""
"passed","Mon Jul 17 20:01:26 GMT 2023","Mon Jul 17 20:01:26 GMT 2023","93","api","v1","epochs","","","Get all epoch",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","87","api","v1","delegations","","","get Epoch List For Pool Detail",""
"passed","Mon Jul 17 20:01:28 GMT 2023","Mon Jul 17 20:01:28 GMT 2023","99","api","v1","addresses","","","Get a address detail",""
"passed","Mon Jul 17 20:01:30 GMT 2023","Mon Jul 17 20:01:30 GMT 2023","95","api","v1","addresses","","","Get list token of address",""
"passed","Mon Jul 17 20:01:26 GMT 2023","Mon Jul 17 20:01:26 GMT 2023","92","api","v1","epochs","","","Get current epoch",""
"passed","Mon Jul 17 20:01:18 GMT 2023","Mon Jul 17 20:01:19 GMT 2023","412","api","v1","txs","","","Filter transaction",""
"passed","Mon Jul 17 20:01:25 GMT 2023","Mon Jul 17 20:01:26 GMT 2023","93","api","v1","epochs","","","Get a epoch detail by its no",""
